Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
Silas Marner,"Eliot, George",Fiction,James McNeill Whistler,Man Smoking a Pipe,"Hall, Evan",2017-10-10,2017-10-10,"A miserly weaver’s isolated life is transformed by the theft of his precious money and the sudden appearance of an abandoned infant, whom he adopts and raises."
"Mill on the Floss, The","Eliot, George",Fiction,John Constable,Watermill at Gillingham,"Grigg, David",2020-02-10,2020-02-10,"The lives of two young people are thrown into disarray when their father, the owner of a mill, is bankrupted by an unwise legal dispute."
New Grub Street,"Gissing, George",Fiction,Ambrose McEvoy,"Bessborough Street, Pimlico","Cabal, Alex",2021-08-28,2021-08-28,A group of writers try to hold on to artistic merit in the face of abject poverty in the quickly-changing literary and social landscape of Victorian London.
Lilith,"MacDonald, George",Fantasy,Dante Gabriel Rossetti,Lady Lilith,"Hillis, David",2021-03-16,2021-03-16,Mr. Vane discovers another world inside his library and embarks on an allegorical journey.
Phantastes,"MacDonald, George",Fantasy,Edmund Blair Leighton,Pelleas and Melisande,Anonymous,2018-01-07,2018-01-07,"A young man awakes in Fairy Land, where he takes part in a series of strange adventures."
"Princess and the Goblin, The","MacDonald, George",Fantasy,Thomas Cole,The Fountain of Vaucluse,"Cabal, Alex",2017-02-19,2017-02-19,A princess and her young friend valiantly fend off a goblin attack with help from a ghostly relative.
"Shaving of Shagpat, The","Meredith, George",Fantasy,Jean-Léon Gérôme,The Muezzin,"Cabal, Alex",2017-03-16,2017-03-16,A Persian barber embarks on a quest to save a city from the clutches of a tyrant and his magical hair.
Three Lives,"Stein, Gertrude",Fiction,Paul Cézanne,The Artist’s Wife with a Fan,"Whittleton, Robin",2018-02-28,2018-02-28,A chronicle of the lives of three working-class women from the early 20th century.
"Decameron, The","Boccaccio, Giovanni",Fiction,Francesco Furini,Sigismunda with the Heart of Guiscardo,"Rice, Vince",2020-10-21,2020-10-21,Seven women and three men each tell a story a day for ten days while sheltering to avoid the black plague.
After the Divorce,"Deledda, Grazia",Fiction,Jean-Baptiste Corot,Agostina the Italian,"Stolee, Dede",2018-09-25,2018-09-25,"After her husband is wrongly convicted of murder, a young Sardinian woman driven into poverty is forced to divorce him and marry a wealthy but abusive man in order to survive."
Madame Bovary,"Flaubert, Gustave",Fiction,John Singer Sargent,Portrait of Lady Agnew of Lochnaw,"Cabal, Alex",2015-12-23,2015-12-23,A middle-class country wife tries to satisfy her yearnings for a luxurious life by engaging in various affairs.
Short Fiction,"Flaubert, Gustave",Shorts,Jan Steen,The Parrot Cage,"Matvejev, Hendrik",2019-03-10,2019-03-10,A collection of short stories by Gustave Flaubert.
"Bid for Fortune, A","Boothby, Guy",Mystery,Arthur Streeton,Sydney Harbour,"Grigg, David",2019-07-23,2019-07-23,A young Australian man struggles to reclaim his love from the clutches of an evil mastermind.
Pierre and Jean,"de Maupassant, Guy",Fiction,Claude Monet,The Beach at Sainte-Adresse,"Whittleton, Robin",2020-10-11,2020-10-11,"A doctor, jealous of his brother’s sudden wealth, starts questioning its provenance."
Four-Day Planet,"Piper, H. Beam",Science Fiction,John O’Brien Inman,Cave Scene,"Mastracci, Matt",2021-02-23,2021-02-23,"A young reporter gets caught up in intrigue and adventure chasing tallow-wax bounties with the monster hunters on Fenris, a planet with a two-thousand-hour day and four-day year."
Little Fuzzy,"Piper, H. Beam",Science Fiction,Henri Rousseau,Exotic Landscape,"Grigg, David",2017-07-20,2017-07-20,"On a planet being exploited for its resources, the discovery of a possibly-sentient native species creates consternation and conflict."
Space Viking,"Piper, H. Beam",Science Fiction,Luigi Russolo,Sintesi plastica dei movimenti di una donna,"Cabal, Alex",2016-01-07,2016-01-07,A tragic starfarer seeks revenge in this epic space opera.
"Cosmic Computer, The","Piper, H. Beam",Science Fiction,Jacoba van Heemskerck,Bild 100 (Segelboote),"Grigg, David",2017-07-05,2017-07-05,"A young man returns to his home planet with news about Merlin, the military super-computer rumoured to be hidden somewhere on his world."
Kipps,"Wells, H. G.",Fiction,Tom Roberts,Reconciliation,"Brooks, Chris",2018-07-25,2018-07-25,An orphan raised by his aunt and uncle struggles as a young man to integrate into upper class society after receiving a substantial inheritance from his grandfather.
Short Fiction,"Wells, H. G.",Shorts,Henry Alexander,In the Laboratory,"Williams, Kenneth",2019-02-15,2019-02-15,A collection of short stories by H. G. Wells in a variety of genres ordered by date of publication.
"History of Mr. Polly, The","Wells, H. G.",Fiction,Arthur Hacker,"Henry Payne, Esq. J.P.","Grigg, David",2018-04-29,2018-04-29,"A middle-aged man in early Edwardian England finds himself despairing at his failed business and marriage, and takes a drastic step to escape—with unexpected results."
"Invisible Man, The","Wells, H. G.",Science Fiction,Paul Gauguin,Village in the Snow,"Williams, Kenneth",2017-10-05,2017-10-05,A scientist named Griffin creates a serum to render himself invisible and subsequently descends into madness.
"Island of Doctor Moreau, The","Wells, H. G.",Science Fiction,Winslow Homer,Cannon Rock,"Williams, Kenneth",2017-10-19,2017-10-19,A shipwrecked man is rescued by a boat and left on a strange island owned by a physiologist who experiments in vivisection.
"Time Machine, The","Wells, H. G.",Science Fiction,Paul Cézanne,The Black Marble Clock,"Cabal, Alex",2014-05-25,2014-05-25,A mysterious inventor travels to a land far off in time.
"War of the Worlds, The","Wells, H. G.",Science Fiction,Anonymous,The Great Fire of London,"Cabal, Alex",2016-03-29,2016-03-29,The first-person narrative of the Martian invasion of 19th-century Earth.
"Wonderful Visit, The","Wells, H. G.",Fantasy,Michelangelo da Caravaggio,The Rest on the Flight to Egypt,"Grigg, David",2018-05-02,2018-05-02,An angel falls into the everyday world of 19th Century England and is bewildered and despirited by human life and society.
"World Set Free, The","Wells, H. G.",Science Fiction,Paul Nash,We Are Making a New World,"Liu, Yuxi",2021-03-14,2021-03-14,"Facing the devastation of a nuclear world war, humanity unites under a world government."
Tono-Bungay,"Wells, H. G.",Fiction,Albert Edelfelt,Louis Pasteur,"Grigg, David",2019-12-29,2019-12-29,"A poor boy, the son of a servant, rises to fortune on the back of his uncle’s patent-medicine scheme."
Short Fiction,"Lovecraft, H. P.",Shorts,Arnold Böcklin,The Sacred Grove,"Cabal, Alex",2018-04-03,2018-04-03,The complete U.S. public domain short fiction of horror legend H. P. Lovecraft.
King Solomon’s Mines,"Haggard, H. Rider",Fiction,Henri Rousseau,The Snake Charmer,"De Micheli, Gustavo",2018-04-26,2018-04-26,Allan Quatermain leads a group of adventurers into an unknown region of Africa in a search for fame and glory.
She,"Haggard, H. Rider",Fiction,John Robert Cozens,A Grotto in the Campagna,"Rice, Vince",2020-08-21,2020-08-21,Three men travel to Africa and encounter a 2000-year old woman.
Our Nig,"Wilson, Harriet E.",Fiction,Jean-François Millet,The Gleaners,"Likar, Matic",2020-09-10,2020-09-10,An autobiographical account of a young biracial girl abandoned by her parents and forced into servitude in the northern United States.
"Story of My Life, The",,Autobiography,George Frederic Watts,Hope,"Whittleton, Robin",2021-05-12,2021-05-12,Helen Keller writes about her experiences as a deafblind child learning to communicate.
"Doll’s House, A","Ibsen, Henrik",Drama,Jacob Appel,Dolls’ House of Petronella Oortman,"Smith, Asher",2021-03-15,2021-03-15,"In 1870s Norway, a woman struggles to be herself within the confines of marriage and society."
Ghosts,"Ibsen, Henrik",Drama,Vilhelm Hammershøi,Interiors,"Keith, B. Timothy",2019-03-07,2019-03-07,"A Norwegian sea captain’s widow who, no matter how much she tries, cannot escape the ghosts of the past."
Hedda Gabler,"Ibsen, Henrik",Drama,Cornelius Gijsbrechts,Trompe l’Oeil with Pistols,"Smith, Asher",2021-05-04,2021-05-04,Newly-married Hedda Gabler struggles to control her life and the lives of those around her.
"Week on the Concord and Merrimack Rivers, A","Thoreau, Henry David",Nonfiction,Hendrik Dirk Kruseman van Elten,"Landscape Near Granby, Connecticut","Gross, David M.",2020-04-20,2020-04-20,"On a rowboat excursion with his brother, Thoreau lets his thoughts meander with the river."
Essays,"Thoreau, Henry David",Travel,Tom Thomson,"West Wind, Algonquin Park","Rice, Vince",2021-05-11,2021-05-11,A collection of Henry David Thoreau’s essays.
Walden,"Thoreau, Henry David",Philosophy,Ivan Ivanovich Shishkin,Mill in the Forest,"Cabal, Alex",2014-05-25,2014-05-25,"Thoreau’s report on his social experiment of solitude, simplicity, and self-reliance."
Tom Jones,"Fielding, Henry",Fiction,John Wollaston,William Axtell,"Rice, Vince",2020-11-18,2020-11-18,The adventures of an illegitimate young man and his pursuit of romance.
Progress and Poverty,"George, Henry",Nonfiction,George Bellows,New York,"Gregoratto, Stephen",2020-11-30,2020-11-30,"An explanation on why increased productivity has not led to increased wages, and how the application of a single land value tax can fix this and lead to a more just society."
"Ambassadors, The","James, Henry",Fiction,Camille Pissarro,"Boulevard Montmartre, Morning, Cloudy Weather","Bystricky, Lukas",2021-11-15,2021-11-15,A middle-aged man travels to France to attempt to convince a younger man to return to America.
"Golden Bowl, The","James, Henry",Fiction,John Singer Sargent,Portrait of Lisa Colt Curtis,,2019-10-25,2019-10-25,The daughter of a wealthy American art collector marries a poor Italian Prince.
"Turn of the Screw, The","James, Henry",Horror,John Atkinson Grimshaw,A Wintry Moon,"Cabal, Alex",2014-05-25,2014-05-25,A governess moves in to a haunted manor.
"Wings of the Dove, The","James, Henry",Fiction,John Singer Sargent,An Interior in Venice,"Cabal, Alex",2021-01-04,2021-01-04,"A young, dying heiress draws people together amid a backdrop of Venetian elegance."
While the Billy Boils,"Lawson, Henry",Shorts,Arthur Streeton,The Selector’s Hut (Whelan on the Log),"Gregoratto, Stephen",2019-08-26,2019-08-26,A short story collection based on Australian colonial life in 1890s.
Quo Vadis,"Sienkiewicz, Henryk",Fiction,Henryk Siemiradzki,Nero’s Torches,"Chan, Matt",2020-10-12,2020-10-12,"An unlikely love story between Marcus Vinicius, a Roman patrician, and Lygia, a young Christian, blooms under the backdrop of Nero’s rule in ancient Rome."
Moby Dick,"Melville, Herman",Fiction,Albert Pinkham Ryder,The Flying Dutchman,"Whittleton, Robin",2018-03-27,2018-03-27,"Captain Ahab, having lost his leg to the white whale Moby Dick, travels the world on a quest for vengeance."
Short Fiction,"Melville, Herman",Shorts,Albertus Verhoesen,A Rooster with Hens and Chicks,"Whittleton, Robin",2020-03-09,2020-03-09,"A collection of Herman Melville’s short stories, ordered by date of publication."
Siddhartha,"Hesse, Hermann",Spirituality,Abanindranath Tagore,The Victory of Buddha,"Cabal, Alex",2015-05-16,2015-05-16,A man embarks on a spiritual journey through India.
"Servile State, The","Belloc, Hilaire",Philosophy,Carl Redin,"At Madrid Coal Mine, New Mexico",Anonymous,2021-04-07,2021-04-07,"Hilaire Belloc’s thesis that the capitalist state breeds a collectivist theory which, in action, produces something utterly different from collectivism: the Servile State."
"Iliad, The",Homer,Poetry,,Oath of the Horatii,"Sweeney, Emma",2020-01-29,2020-01-29,The epic poem which follows a Greek warrior who refuses to give up his prize of war.
"Odyssey, The",Homer,Poetry,John William Waterhouse,Ulysses and the Sirens,"Sweeney, Emma",2020-02-08,2020-02-08,An epic poem following a Greek hero trying to return home after the Trojan war.
"Human Comedy, The","Balzac, Honoré",Fiction,Gustave Caillebotte,Young Man at the Window,"Cabal, Alex",2016-05-27,2016-05-27,A young man tries to climb up the cutthroat Parisian social ladder during the Bourbon Restoration.
"Castle of Otranto, The","Walpole, Horace",Fiction,Carl Gustav Carus,Gothic Windows in the Ruins of the Monastery at Oybin,"Cabal, Alex",2017-03-12,2017-03-12,"A Gothic tale of chivalry, romance, and horror."
Short Fiction,"Bunin, Ivan",Shorts,Edwin Landseer,Sleeping Bloodhound,"Whittleton, Robin",2019-03-11,2019-03-11,"A collection of Ivan Bunin’s translated short stories, ordered by date of publication."
Fathers and Children,"Turgenev, Ivan",Fiction,Henri Fantin-Latour,By the Table,"Matvejev, Hendrik",2019-03-25,2019-03-25,Arkady returns to his father’s estate accompanied by his friend from university—a nihilist.
Peter Pan,"Barrie, J. M.",Fantasy,Pieter Bruegel the Elder,Landscape with the Fall of Icarus,"Williams, Kenneth",2017-11-22,2017-11-22,"A mischievous and cocky young boy, Peter Pan, takes Wendy and her brothers on adventures on a fantasy island consisting of mermaids, pirates, Native Americans, and fairies."
"Little White Bird, The","Barrie, J. M.",Fantasy,John Linnell,"View of Kensington Gardens, London","Williams, Kenneth",2018-06-01,2018-06-01,"A series of adventures in London, including those of the narrator and a little boy named David, and Peter Pan."
"Playboy of the Western World, The","Synge, J. M.",Drama,George Morland,The Bell Inn,"Keith, B. Timothy",2020-02-26,2020-02-26,A young man in the west coast of Ireland is lionized after he claims to have killed his father.
Scarhaven Keep,"Fletcher, J. S.",Mystery,Jacob van Ruisdael,Landscape with the Ruins of the Castle of Egmond,"Halliday, Dave",2019-05-10,2019-05-10,A famous actor goes missing on the northern English sea coast.
"Charing Cross Mystery, The","Fletcher, J. S.",Mystery,Colin Campbell Cooper,Grand Central Station,"Atkinson, Michael",2019-08-18,2019-08-18,A young lawyer witnesses a suspicious death on a late-night train and investigates what turns out to be a murder.
"Middle Temple Murder, The","Fletcher, J. S.",Mystery,Albert Engström,"The Artist’s Father, Reading a Newspaper","Whittleton, Robin",2021-07-12,2021-07-12,A murder in London’s Middle Temple uncovers a twenty year old conspiracy.
In a Glass Darkly,"Le Fanu, J. Sheridan",Shorts,Willem Kalf,Still Life with Glass and Porcelain Bowl,"Williams, Kenneth",2017-12-29,2017-12-29,"A collection of five of Le Fanu’s short stories, including his most notable work “Carmilla,” presented as cases of the occult detective Dr. Martin Hesselius."
Uncle Silas,"Le Fanu, J. Sheridan",Mystery,Rembrandt Harmenszoon van Rijn,Study of an Old Man with a Gold Chain,"Williams, Kenneth",2017-12-06,2017-12-06,"An heiress becomes ward to her disreputable uncle with an unsavory past, tainted by the apparent suicide of a man to whom he owed a large gambling debt, and must help clear his name."
"Sorrows of Young Werther, The","Goethe, J. W. von",Fiction,Orest Adamovich Kiprenskiĭ,"Self Portrait, 1809","Coffey, Geoff",2017-07-20,2017-07-20,"Goethe’s first major work, a novel of unrequited love, longing, and deterioration into sorrow."
Lost Face,"London, Jack",Shorts,Albert Bierstadt,"The Rocky Mountains, Lander’s Peak","Siddiqui, Sami",2017-07-01,2017-07-01,A collection of short stories by Jack London.
"Call of the Wild, The","London, Jack",Fiction,Alfred Kowalski,Winternight,"Cabal, Alex",2014-05-25,2014-05-25,The story of a domesticated dog’s return to a primitive state in the late 19th-century Yukon.
"Iron Heel, The","London, Jack",Fiction,George Clausen,In the Gun Factory at Woolwich Arsenal,"Cabal, Alex",2020-07-24,2020-07-24,"In the far future, a long-lost manuscript describes how the United States descended into a tyranny ruled by oligarchic plutocrats."
"Sea-Wolf, The","London, Jack",Fiction,Jules Dupré,At Sea,"Halliday, Dave",2019-11-15,2019-11-15,"Literary critic Humphrey Van Weyden is pressed into service aboard a seal-hunting schooner by its cruel, ruthless, but intelligent captain."
"Son of the Wolf, The","London, Jack",Shorts,Alexander Joseph Daiwaille,Snow Landscape,"Odorizzi, Ryan",2019-01-12,2019-01-12,A collection of stories entailing life during the gold rush in the harsh wilderness of northwestern North America.
When God Laughs,"London, Jack",Shorts,Winslow Homer,On a Lee Shore,"Siddiqui, Sami",2018-04-19,2018-04-19,The eleventh collection of short stories by Jack London.
White Fang,"London, Jack",Fiction,Alfred Kowalski,The Lone Wolf (A Winternight in Lithuania),"Cabal, Alex",2014-05-25,2014-05-25,A wild half-wolf survives a harsh existence before finding love and domestication in civilization.
"Soul of Melicent, The","Cabell, James Branch",Fantasy,Edmund Blair Leighton,The Accolade,"White, Reece",2021-06-05,2021-06-05,The tale of to what extent a woman’s love is worth pursuing.
Jurgen,"Cabell, James Branch",Fantasy,Moritz von Schwind,Der Ritt Kunos von Falkenstein,"Cabal, Alex",2020-07-13,2020-07-13,"Jurgen, a pawnbroker and “monstrous clever fellow,” is sent on a witty and parodic magical journey in search of true love."
"Cream of the Jest, The","Cabell, James Branch",Fiction,Johan Vilhelm Gertner,A Bedroom in Bernstorff Palace Near Copenhagen,"Cabal, Alex",2020-05-15,2020-05-15,The lines between reality and fantasy begin to blur in the life of an author of fantasy books.
"Strange Manuscript Found in a Copper Cylinder, A","De Mille, James",Science Fiction,Charles R. Knight,Agathaumas,"Cabal, Alex",2017-05-01,2017-05-01,A shipwrecked sailor travels through a portal to a lost world populated by fantastic creatures and a strange civilization.
"Last of the Mohicans, The","Cooper, Fenimore James",Fiction,N. C. Wyeth,Uncas Slays a Deer,"Cabal, Alex",2015-12-05,2015-12-05,Frontiersmen and Native Americans help transport a colonel’s daughters through upper New York during the French and Indian War.
"Portrait of the Artist as a Young Man, A","Joyce, James",Fiction,Honoré Daumier,The Print Collector,"Cabal, Alex",2021-02-28,2021-02-28,The autobiographical story of Joyce’s youth in Ireland and his escaping the country’s conformity and mediocrity to blossom as a writer on the continent.
Dubliners,"Joyce, James",Shorts,Walter Frederick Osborne,"In a Dublin Park, Light and Shade","Cabal, Alex",2014-05-25,2014-05-25,Fifteen short stories about middle-class life in early 20th-century Dublin.
Poetry,"Joyce, James",Poetry,Lesser Ury,Interior,"Cabal, Alex",2021-10-11,2021-10-11,"A collection of James Joyce’s poetry, ordered by date of first publication."
Irish Fairy Tales,"Stephens, James",Shorts,Anonymous,Road in the Woods,"Genoch, Jan",2020-09-07,2020-09-07,Ten stories from the Fenian cycle of Irish folklore retold by James Stephens.
Poetry,"Johnson, James Weldon",Poetry,Eastman Johnson,The Lord Is My Shepherd,"Cheng, Weijia",2021-02-07,2021-02-07,A collection of poems by James Weldon Johnson.
"Autobiography of an Ex-Colored Man, The","Johnson, James Weldon",Fiction,Georges Seurat,A Man Leaning on a Parapet,"Gross, David M.",2020-08-17,2020-08-17,A man wrestles with his racial identity and must decide whether it is worth the risks to identify with the culture that he loves.
Twenty Years at Hull House,"Addams, Jane",Autobiography,L. Birge Harrison,Fifth Avenue at Twilight,"Cabal, Alex",2021-07-07,2021-07-07,"Jane Addams’ autobiographical account of the founding and operation of Hull House, one of America’s most famous settlement homes."
Emma,"Austen, Jane",Fiction,Frederick Goodall,Rica,"Grigg, David",2018-03-21,2018-03-21,"A wealthy young woman decides to take on the role of patroness and matchmaker to a young protégé, with considerably less than successful results."
Mansfield Park,"Austen, Jane",Fiction,François Gérard,Comtesse de La Tour-Maubourg,"Cabal, Alex",2021-01-11,2021-01-11,"A young girl is sent to live with her wealthy relatives at a country estate, where she must navigate adolesence and young adulthood."
Persuasion,"Austen, Jane",Fiction,Caspar David Friedrich,Woman at a Window,"Grigg, David",2018-12-05,2018-12-05,A young woman meets again with a lover whose marriage proposal she had been persuaded to reject several years ago.
Pride and Prejudice,"Austen, Jane",Fiction,Edmund Blair Leighton,A Wet Sunday Morning,"Cabal, Alex",2014-05-25,2014-05-25,"A Regency-era novel of manners in which five women try to adjust to their new neighbor, an eligible gentleman."
Sense and Sensibility,"Austen, Jane",Fiction,Georg Friedrich Kersting,At the Mirror,"Rice, Vince",2019-10-20,2019-10-20,Two sisters take long journeys to love in early nineteenth-century England.
Cane,"Toomer, Jean",Poetry,Carducius Plantagenet Ream,Still Life with Grapes,"Peterson, Zoey Leigh",2021-04-11,2021-04-11,An experimental and highly lyrical novel exploring the African-American experience.
Three Men in a Boat,"Jerome, Jerome K.",Travel,N. C. Wyeth,Next Morning Came a Clear Day⁠—A Hot Day,"Cabal, Alex",2016-02-18,2016-02-18,The humorous travelogue of a boating holiday down the Thames taken by three friends and their dog.
Greenmantle,"Buchan, John",Fiction,Jean Baptiste Vanmour,The Grand Vizier Crossing the Atmeydanı,"Atkinson, Michael",2019-03-01,2019-03-01,The story of a chase through war-torn Europe to prevent an uprising during the First World War.
Mr. Standfast,"Buchan, John",Fiction,Alexandre Calame,"The Jungfrau, Switzerland","Atkinson, Michael",2019-09-18,2019-09-18,"An army general chases a network of German spies through Scotland, the Swiss Alps, and the First World War’s Western Front."
"Thirty-Nine Steps, The","Buchan, John",Fiction,Peter Graham,Wandering Shadows,"Grigg, David",2018-01-03,2018-01-03,"An expatriate returning to England after many years in South Africa is accused of a murder he did not commit, and has to flee from the police and other more dangerous pursuers."
"Pilgrim’s Progress, The","Bunyan, John",Spirituality,Wilhelm von Kaulbach,Crusaders Before Jerusalem,"Grigg, David",2020-05-07,2020-05-07,"An allegorical story of a pilgrim in search of redemption, followed later by his wife and children, passing through great trials before reaching the Celestial City."
"Forsyte Saga, The","Galsworthy, John",Fiction,Henri Gervex,Return from the Ball,"Cabal, Alex",2020-03-25,2020-03-25,A narrative tracing the ups and downs of a nouveau-riche upper-middle-class English family at the end of the Victorian era.
Verses on Various Occasions,"Newman, John Henry",Spirituality,Corrado Giaquinto,The Trinity with Souls in Purgatory,"Cheng, Weijia",2021-01-06,2021-01-06,A collection of poems by John Henry Newman.
Poetry,"Keats, John",Poetry,Joseph Severn,John Keats in His Study at Hampstead,"Whittleton, Robin",2017-10-19,2017-10-19,"A collection of John Keats’ published poems, and a selection of unpublished fragments and posthumous verse."
Moonfleet,"Falkner, John Meade",Fiction,Johan Christian Dahl,A Shipwreck on the Coast of Norway,"Atkinson, Michael",2018-12-27,2018-12-27,"An adventure tale of smuggling, treasure and shipwreck."
Paradise Lost,"Milton, John",Spirituality,Tiziano Vecellio,Adam and Eve,"Grigg, David",2019-08-26,2019-08-26,"A dramatic imagining in blank verse of the rebellion of Satan against God, Satan’s overthrow, and the Fall of Man."
My First Summer in the Sierra,"Muir, John",Nonfiction,Albert Bierstadt,"Merced River, Yosemite Valley","Klappenbach, Laura",2019-12-06,2019-12-06,"The influential Scottish-American naturalist spends a summer exploring the high country surrounding the headwaters of the Merced and Tuolumne rivers in the Sierra Nevada, and records what he sees in a diary."
Ten Days That Shook the World,"Reed, John",Nonfiction,Boris Kustodiev,Strike,"Cabal, Alex",2019-10-01,2019-10-01,"Journalist John Reed gives a first-hand account of Russia’s 1917 October Revolution, which lead to the formation of the Soviet Union."
On Liberty,"Mill, John Stuart",Philosophy,Eugène Delacroix,Liberty Leading the People,"Cabal, Alex",2017-03-31,2017-03-31,Mill’s famous essay that applies a utilitarian ethical system to systems of government.
"Subjection of Women, The","Mill, John Stuart",Nonfiction,Camille Pissarro,Woman Mending,"Demler, Ronnie",2021-02-10,2021-02-10,John Stuart Mill argues for the social and legal equality of men and women.
Islands of Space,"Campbell, John W.",Science Fiction,Arnold Böcklin,Ruin by the Sea,"Heybey, Jacob",2020-02-08,2020-02-08,Four men become the first humans to travel to other galaxies.
"Black Star Passes, The","Campbell, John W.",Science Fiction,Bengt Nordenberg,Solförmörkelse,"Reding, Aaron",2020-08-15,2020-08-15,"Three scientists from Earth invent space travel and meet extraterrestrial life, but then must defend the solar system from a new threat."
"Duchess of Malfi, The","Webster, John",Drama,anonymous,Portrait of a Couple and Four Children,"Keith, B. Timothy",2021-01-09,2021-01-09,"A widow marries beneath her station and against her brothers’ orders and, enraged, they take their revenge."
Gulliver’s Travels,"Swift, Jonathan",Satire,Jehan-Georges Vibert,Gulliver and the Lilliputians,"Atkinson, Michael",2019-10-22,2019-10-22,"An Englishman travels to fictional islands where he meets tiny people, giants, magicians and talking horses."
Heart of Darkness,"Conrad, Joseph",Fiction,William Michaud von Vevey,Brazilian Rainforest,"Cabal, Alex",2014-05-25,2014-05-25,A steamer captain in the heart of Africa witnesses the final days of a brutal ivory trader.
Lord Jim,"Conrad, Joseph",Fiction,J. M. W. Turner,Snow Storm: Steam-Boat Off a Harbour’s Mouth,"Wang, Hui-chang",2021-01-27,2021-01-27,"Haunted by the part he played in a shipping disaster, young British seaman Jim escapes to an island in the South Seas to build his future."
Nostromo,"Conrad, Joseph",Fiction,Childe Hassam,"Isles of Shoals, Broad Cove","Szott, Szymon",2018-04-24,2018-04-24,The fictitious South American republic of Costaguana is in the midst of a civil war and the citizens of the coastal town of Sulaco turn to Nostromo for help.
"Secret Agent, The","Conrad, Joseph",Fiction,Claude Monet,The Houses of Parliament (Effect of Fog),"Cabal, Alex",2017-01-30,2017-01-30,A spy in London is ordered to stage a bombing to foment political and social chaos.
Such Is Life,"Furphy, Joseph",Fiction,Frederick McCubbin,Down on His Luck,"Grigg, David",2019-05-15,2019-05-15,A minor government official travels the Australian outback and talks to a variety of characters such as bullock-team drivers and swagmen along the way.
Indian Fairy Tales,"Jacobs, Joseph",Shorts,Henri Rousseau,The Dream,"Sweeney, Emma",2021-03-25,2021-03-25,A collection of fairy tales that exhibits India’s rich folk tale tradition.
"Antarctic Mystery, An","Verne, Jules",Fiction,William Bradford,Off Greenland⁠—Whaler Seeking Open Water,"Laws, Samuel",2021-07-10,2021-07-10,An American naturalist travels south beyond the remote Kerguelen Islands.
Around the World in Eighty Days,"Verne, Jules",Fiction,Isaac Ilyich Levitan,Train on the Way,"Cabal, Alex",2014-05-25,2014-05-25,"On a bet, an eccentric Victorian gentleman races to circumnavigate the globe."
Five Weeks in a Balloon,"Verne, Jules",Fiction,William Holbrook Beard,The Lost Balloon,"Vautier, Mike",2021-04-26,2021-04-26,Three men attempt to cross Africa by balloon.
From the Earth to the Moon,"Verne, Jules",Fiction,J. M. W. Turner,Keelmen Heaving in Coals by Moonlight,"Ségol, Geneviève",2021-09-07,2021-09-07,"After the end of the Civil War, the Baltimore Gun Club decides to apply its engineering expertise to the design of a cannon capable of shooting a projectile to the Moon."
Journey to the Center of the Earth,"Verne, Jules",Science Fiction,Johan Christian Dahl,Eruption of the Volcano Vesuvius,"Chan, Matt",2020-07-01,2020-07-01,"Prompted by a mysterious Icelandic manuscript, a professor and his nephew, with the aid of a local guide, adventure to the center of the earth through the crater of a dormant volcano."
Round the Moon,"Verne, Jules",Fiction,Aert van der Neer,Moonlit Landscape,"Ségol, Geneviève",2021-10-07,2021-10-07,"The giant rocket Columbiad travels to the Moon, engaging in discoveries and misadventures along the way."
"Child of the Cavern, The","Verne, Jules",Fiction,J. M. W. Turner,"Snowstorm, Mont Cenis","Ransom, Eric",2021-08-30,2021-08-30,An engineer returns to a depleted coal mine at an old friend’s request and investigates mysterious happenings.
"Mysterious Island, The","Verne, Jules",Fiction,Claude Monet,The Rocks of Belle-Île,"Cabal, Alex",2016-08-29,2016-08-29,"Five Americans, balloon-wrecked on a deserted island, must find a way to survive while revealing the island’s strange mysteries."
"Survivors of the Chancellor, The","Verne, Jules",Fiction,Théodore Géricault,The Raft of the Medusa,"Bystricky, Lukas",2021-10-04,2021-10-04,A record of the ill-fated voyage of the Chancellor as told by one of the passengers.
Ticket No. 9672,"Verne, Jules",Fiction,Berndt Lindholm,Norwegian Landscape,"Ségol, Geneviève",2021-06-29,2021-06-29,The wife of a lost fisherman finds his last message to her: a lottery ticket in a bottle.
Topsy-Turvy,"Verne, Jules",Fiction,John Henry Twachtman,Winter Harmony,"Ségol, Geneviève",2021-07-27,2021-07-27,"The North Pole is auctioned off, and the winning team undertakes a scientific experiment to ameliorate the local climate."
Commentaries on the Gallic War,"Caesar, Julius",Nonfiction,Lionel Royer,Vercingetorix Throws Down His Arms at the Feet of Julius Caesar,"Moore, Mat",2019-04-29,2019-04-29,Julius Caesar’s account of the conflicts between Rome and Gaul in the later years of the Roman republic.
R.U.R.,"Čapek, Karel",Science Fiction,Albert Gleizes,La Femme aux Phlox,"Grigg, David",2020-09-24,2020-09-24,The development of artificial beings in huge quantities to act as workers and soldiers leads to disaster for mankind.
"Communist Manifesto, The",,Philosophy,Jules Breton,The Song of the Lark,"Elgie, Brook",2017-10-19,2017-10-19,Karl Marx and Friedrich Engels’ classic analysis of modern industrial society and call for Working Class revolution.
Short Fiction,"Chopin, Kate",Shorts,Henri Martin,Lovers,"Whittleton, Robin",2019-06-05,2019-06-05,"A collection of Kate Chopin’s short stories, ordered by date of writing."
