Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
Five Children and It,"Nesbit, E.",Fantasy,Johannes Tavenraat,Zandafgraving,"Grandjean, François",2020-10-14,2020-10-14,Five children encounter an ancient magical creature who grants them wishes—all of which go comically wrong.
Harding’s Luck,"Nesbit, E.",Fantasy,Édouard Manet,Boy with a Sword,"Grigg, David",2021-01-02,2021-01-02,A poor orphan boy accidentally discovers magic which sends him into the past and leads to his recovery of a fortune and a lordly title.
"Enchanted Castle, The","Nesbit, E.",Fiction,Willard Metcalf,May Night,"Grigg, David",2018-04-02,2018-04-02,"Three children discover a wonderful garden and castle, and come into possession of a magic ring which entangles them in many strange adventures."
"House of Arden, The","Nesbit, E.",Fantasy,Godfried Schalcken,Portrait of a Young Woman by Candle-Light,"Grigg, David",2020-12-15,2020-12-15,"Two children, with the aid of a magical white mole, travel into the past in search of their family’s long-lost treasure."
"Phoenix and the Carpet, The","Nesbit, E.",Fantasy,Viktor Vasnetsov,Flying Carpet,"Grandjean, François",2021-03-07,2021-03-07,"Five children once again encounter an ancient, magical creature and go on adventures around the world with its magic carpet."
"Railway Children, The","Nesbit, E.",Fiction,Claude Monet,La Gare de Saint-Lazare,"Grigg, David",2018-05-13,2018-05-13,"After their father is forced to leave them, three children and their mother must live in near-poverty in the country, where their lives are enlivened by the nearby presence of a railway line."
"Story of the Amulet, The","Nesbit, E.",Fantasy,Edward John Poynter,The Visit of the Queen of Sheba to King Solomon,"Grandjean, François",2021-04-01,2021-04-01,"Four children are reunited with an ancient, magical creature and go on adventures through time with a magic amulet."
Legends of Vancouver,"Johnson, E. Pauline",Shorts,Tom Thomson,"Pine Island, Georgian Bay","Kift, Jonathan",2018-03-26,2018-03-26,E. Pauline Johnson’s collection of legends and myths of the Squamish people.
"Great Impersonation, The","Oppenheim, E. Phillips",Fiction,Eastman Johnson,The Funding Bill,"Elster, Gavin",2018-04-21,2018-04-21,A German spy attempts to infiltrate English society by assuming the identity of his doppelganger.
Master Flea,"Hoffmann, E. T. A.",Fantasy,Jan Verkolje,Portrait of Antonie van Leeuwenhoek,"Updike, Jared",2017-07-24,2017-07-24,"A gentleman bachelor gains an epic advantage of tiny proportions in this allegorical, Romantic, fairy-tale novel."
